Municipios;Latitud;Longitud;Superficie (km^2);Población (hab.);Densidad (hab/km^2)
Apóstoles;-27.914322;-55.754894;316;32943;104.3
Aristóbulo del Valle;-27.095513;-54.893343;593;29003;48.9
Posadas;-27.404547;-55.902778;308;304765;989.5
Eldorado;-26.402914;-54.634779;216;76663;354.9
El Soberbio;-27.296470;-54.198393;1783;27211;15.3
San Vicente;-26.993509;-54.487219;1522;53800;35.3
Colonia Wanda;-25.969839;-54.579370;481;19227;40
Puerto Iguazú;-25.597342;-54.578280;766;58760;76.7
Leandro N. Alem;-27.604160;-55.324049;175;32551;186
Puerto Rico;-26.820680;-55.022551;124;21985;177.3
Montecarlo;-26.571662;-54.741179;958;26901;28.1
Oberá;-27.485096;-55.120063;155;80121;516.9
San Ignacio;-27.257574;-55.535267;351;12000;34.2
San Javier;-27.866305;-55.137557;171;14445;84.5
San Pedro;-26.625353;-54.114189;3426;41597;12.1
Veinticinco de Mayo;-27.370991;-54.752081;690;14095;20.4
